SR03A-PC-S1B-01:SETI,0,1
SR03A-PC-S1B-07:SETI,0,1
SR06A-PC-S1B-01:SETI,0,1
SR06A-PC-S1B-07:SETI,0,1
SR07A-PC-S1B-01:SETI,0,1
SR07A-PC-S1B-07:SETI,0,1
SR10A-PC-S1B-01:SETI,0,1
SR10A-PC-S1B-07:SETI,0,1
SR11A-PC-S1B-01:SETI,0,1
SR11A-PC-S1B-07:SETI,0,1
SR14A-PC-S1B-01:SETI,0,1
SR14A-PC-S1B-07:SETI,0,1
SR15A-PC-S1B-01:SETI,0,1
SR15A-PC-S1B-07:SETI,0,1
SR18A-PC-S1B-01:SETI,0,1
SR18A-PC-S1B-07:SETI,0,1
SR19A-PC-S1B-01:SETI,0,1
SR19A-PC-S1B-07:SETI,0,1
SR22A-PC-S1B-01:SETI,0,1
SR22A-PC-S1B-07:SETI,0,1
SR23A-PC-S1B-01:SETI,0,1
SR23A-PC-S1B-07:SETI,0,1
